,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
546,,kitchen-pot,,blender,537fc745d31907d16d001d0b,22474_2.jpg,,blenders,,,,C,22465_4.jpg,False,22474,2,far right,man in front right,man in white thing on right,lamp or glass in front right,lamp or glass in white thing on right,lamp:glass,a2
549,right,fruit,,fruit,537fc6dfd31907d16d001ca1,22474_7.jpg,,fruit in basket 2nd right,,,,C,22474_2.jpg,False,22474,7,top right,trees on right side,dark brown door on right side,fruit or sign on right side,dark brown fruit or sign on right side,fruit:sign,a1
552,,table,,table,537fe1e0d31907d16d00287a,22483_4.jpg,,(JUS MISSED IT) BACK GRAY TABLE ON RIGHT,,,,C,22474_7.jpg,False,22483,4,top right,building on top right,yellow building in background on right,flag or building on top right,yellow flag or building in background on right,flag:building,a2
555,bottom,bed,,center,53838b3dffd526891400071d,22485_8.jpg,,bottom center bunk,,,,C,22483_4.jpg,False,22485,8,in middle,girl in front middle,girl in front chair on table,chairs or table in front middle,chairs or table in front chair on table,chairs:table,a2
558,bottom,bed,,bed,537fbc9bd31907d16d0010e9,22485_9.jpg,,bottom right bed,,,,C,22485_8.jpg,False,22485,9,bottom right,person on bottom right,person in pink shirt on right,hat or sweater on bottom right,hat or sweater in pink shirt on right,hat:sweater,a1
561,,kitchen-pot,white,pan,537fe045d31907d16d002766,22487_3.jpg,,white pan,,,,C,22485_9.jpg,False,22487,3,in middle,boy in front center,white car in middle light blue,bus or stand in front center,white bus or stand in middle light blue,bus:stand,a1
564,,man,,man,537fc7b8d31907d16d001d9a,22576_2.jpg,,man on rightest,prep_on,rightest,,C,22487_3.jpg,False,22576,2,far right,man on far right,man in black bag on right,way or dude on far right,way or dude in black bag on right,way:dude,a1
567,,lake,,water,537fbe10d31907d16d001288,22577_6.jpg,,water b y left guy feet,,,,C,22576_2.jpg,False,22577,6,bottom left,man on far left,man on left guy in front,guys or way on far left,guys or way on left guy in front,guys:way,a1
570,,llama,black,llama,537fe076d31907d16d002783,22588_2.jpg,,black llama,,,,C,22577_6.jpg,False,22588,2,lower left,grass in front left,grass on left person in front,animal or fence in front left,animal or fence on left person in front,animal:fence,a1
573,,house,,tent,537fb536d31907d16d00081f,22642_5.jpg,,tent left,,,,C,22588_2.jpg,False,22642,5,far left,water on far left,person in blue thing on left,umbrella or sea on far left,umbrella or sea in blue thing on left,umbrella:sea,a1
576,right,statue,,totem,537fe1c1d31907d16d002867,22774_1.jpg,,right totem,,,,C,22642_5.jpg,False,22774,1,on right,hat on right corner,green hat on far right corner,hat or stone on right corner,green hat or stone on far right corner,hat:stone,a1
579,left,horse,,donkey,537fc710d31907d16d001cd1,22781_10.jpg,,left donkey,,,,C,22774_1.jpg,False,22781,10,far left,lamp post on left,man in front person on left,dude or horse post on left,dude or horse in front person on left,dude:horse,a2
582,second,horse,,horse,537fb52ed31907d16d00080f,22781_11.jpg,,second horse from right,prep_from,right,,C,22781_10.jpg,False,22781,11,in middle,man in middle right,man in black thing on right,pic or horse in middle right,pic or horse in black thing on right,pic:horse,a2
585,,chair,,chair,537fbd4ad31907d16d0011ad,22944_3.jpg,,chair with yellow and blue,prep_with,yellow,,C,22781_11.jpg,False,22944,3,bottom right,girl on bottom right,girl in blue bag on right,boat or chair on bottom right,boat or chair in blue bag on right,boat:chair,a2
588,middle,horse,white,horse,537fe002d31907d16d002736,22956_6.jpg,,middle white horse,,,,C,22944_3.jpg,False,22956,6,in front,person in front left,person in black bag on left,horse or animal in front left,horse or animal in black bag on left,horse:animal,a1
591,,mountain,,mountaintop,537fb5bdd31907d16d0008d8,22957_3.jpg,,mountaintop in middle of pic,prep_in_middle,pic,,C,22956_6.jpg,False,22957,3,top center,snow mountain in center,brown mountain in middle top center,mtn or mountains mountain in center,brown mtn or mountains in middle top center,mtn:mountains,a1
594,,vehicle,,cable,537fe22bd31907d16d0028b8,22999_7.jpg,,cable car on right,,,,C,22957_3.jpg,False,22999,7,in middle,guy in middle left,guy in white car on left,can or mans in middle left,can or mans in white car on left,can:mans,a2
597,,plant,purple,flower,537fbecfd31907d16d00134d,23017_5.jpg,,purple flower bush,,,,C,22999_7.jpg,False,23017,5,bottom right,palm tree on right,tall tree on bottom right side,bush or shrub tree on right,tall bush or shrub on bottom right side,bush:shrub,a2
600,right,lighthouse,,lamp,537fc764d31907d16d001d29,23076_11.jpg,,lamp right,,,,C,23017_5.jpg,False,23076,11,in middle,lamp post in middle,lamp post lady in front middle,lamp or post post in middle,lamp or post post lady in front middle,lamp:post,a2
603,left,lighthouse,,street,537fe074d31907d16d002781,23076_12.jpg,,left street lamp,,,,C,23076_11.jpg,False,23076,12,bottom left,lamp post on left,lamp post tall tree on left,post or lamp post on left,post or lamp post tall tree on left,post:lamp,a2
606,top,window,,window,537fe26fd31907d16d0028ec,23083_6.jpg,,very top right window,,,,C,23076_12.jpg,False,23083,6,top right,wall on far right,wall window on far right side,tire or clock on far right,tire or clock window on far right side,tire:clock,a2
609,front,man,,guy,537fb5b7d31907d16d0008ce,23113_3.jpg,,guy in front,,,,C,23083_6.jpg,False,23113,3,in front,man in front guy,white shirt guy in black hat,kid or bench in front guy,white kid or bench guy in black hat,kid:bench,a1
612,,public-sign,,sign,537fbef6d31907d16d001379,23115_6.jpg,,hanging sign on right,,,,C,23113_3.jpg,False,23115,6,top right,very top right corner,blue shirt on top right corner,very top right corner,blue column or lamp on top right corner,column:lamp,a3
615,right,toy,yellow,duck,537fc884d31907d16d001e3d,23116_6.jpg,,yellow duck on right,,,,C,23115_6.jpg,False,23116,6,top right,guy on right side,guy in red on right side,light or spiders on right side,light or spiders in red on right side,light:spiders,a2
618,top,building,,building,537fbce5d31907d16d001145,23128_8.jpg,,top left building,,,,C,23116_6.jpg,False,23128,8,top left,building on left corner,white building on top left corner,fence or windows on left corner,white fence or windows on top left corner,fence:windows,a1
621,,bed,,lounge,53838b49ffd526891400072d,2316_8.jpg,,2nd lounge chair on left,,,,C,23128_8.jpg,False,2316,8,bottom left,lady in front left,lady in blue shirt on left,lady or chairs in front left,lady or chairs in blue shirt on left,lady:chairs,a2
624,,chair,,chair,537fdb5dd31907d16d002459,23186_3.jpg,,chair yellow guy,,,,C,2316_8.jpg,False,23186,3,bottom left,girl on left corner,girl in red bag on left,bag or bench on left corner,bag or bench in red bag on left,bag:bench,a2
627,,man,yellow,shirt,537fba9bd31907d16d000e64,23186_4.jpg,,yellow shirt,,,,C,23186_3.jpg,False,23186,4,on left,guy in orange shirt,guy in red shirt on left,girl or bed in orange shirt,girl or bed in red shirt on left,girl:bed,a2
630,second,woman,,bottom,537fbf96d31907d16d00143c,23229_6.jpg,,Bottom 2nd from right person,prep_from,person,,C,23186_4.jpg,False,23229,6,in front,person in front right,person in black jacket on right,orange or pants in front right,orange or pants in black jacket on right,orange:pants,a1
633,,palm,,palm,537fc7fed31907d16d001dd4,23270_13.jpg,,second palm tree from left,,,,C,23229_6.jpg,False,23270,13,top left,palm tree on left,palm tree in background on left,palm or bldg tree on left,palm or bldg tree in background on left,palm:bldg,a3
636,middle,car,,car,537fdeb0d31907d16d002679,23315_17.jpg,,car middle,,,,C,23270_13.jpg,False,23315,17,in middle,man in front middle,man in front tire on right,group or bottle in front middle,group or bottle in front tire on right,group:bottle,a2
639,,woman,blue,shirt,537fe26fd31907d16d0028ee,23319_7.jpg,,blue shirt,,,,C,23315_17.jpg,False,23319,7,on left,person on far left,person in blue hat on left,bag or kid on far left,bag or kid in blue hat on left,bag:kid,a1
642,right,woman,,person,537fc9afd31907d16d001ecc,23326_2.jpg,,person on right,,,,C,23319_7.jpg,False,23326,2,on right,person on far right,person in black shirt on right,dude or lady on far right,dude or lady in black shirt on right,dude:lady,a1
645,,woman,blue,shirt,537fc9cbd31907d16d001ed4,23334_2.jpg,,blue shirt,,,,C,23326_2.jpg,False,23334,2,in middle,guy in orange shirt,blue shirt guy in black hat,girl or pants in orange shirt,blue girl or pants guy in black hat,girl:pants,a1
648,,child-girl,bright,shirt,537fb4a5d31907d16d000779,23368_7.jpg,,bright green shirt,,,,C,23334_2.jpg,False,23368,7,on right,person on far right,person in black hat on right,hat or kid on far right,hat or kid in black hat on right,hat:kid,a3
651,,woman,,girl,537fe2acd31907d16d00291a,23384_3.jpg,,girl in red shirt next to dude in red shirt,prep_in,shirt,,C,23368_7.jpg,False,23384,3,in middle,guy in orange shirt,yellow shirt guy in red jacket,women or shirt in orange shirt,yellow women or shirt guy in red jacket,women:shirt,a1
654,,mountain,,hill,537fc7d3d31907d16d001db0,23583_4.jpg,,hill to the right of kids head above house,,,,C,23384_3.jpg,False,23583,4,on right,tree on right side,big tree on right in middle,hill or land on right side,big hill or land on right in middle,hill:land,a2
657,,rafter,,lady,537fb616d31907d16d00093a,23639_1.jpg,,lady left red hat,,,,C,23583_4.jpg,False,23639,1,in front,hat guy in front,guy in black hat on left,orange or boy guy in front,orange or boy in black hat on left,orange:boy,a2
660,,mountain,,snowcap,537fb5b9d31907d16d0008d3,23641_1.jpg,,snowcap,,,,C,23639_1.jpg,False,23641,1,in background,mountain in background mountains,white shirt black bag in background,mountain or cap in background mountains,white mountain or cap black bag in background,mountain:cap,a1
663,middle,woman,,girl,537fb6e5d31907d16d000a08,23730_2.jpg,,middle girl,,,,C,23641_1.jpg,False,23730,2,in front,person in front row,man in front person on right,chick or kids in front row,chick or kids in front person on right,chick:kids,a1
666,,jewelry,,thing,537fe02cd31907d16d002755,2386_1.jpg,gold,gold thing,,,,C,23730_2.jpg,False,2386,1,in middle,mountains in middle water,mountains in middle dark brown wall,bldg or heads in middle water,bldg or heads in middle dark brown wall,bldg:heads,a1
669,right,window,,window,537fc94fd31907d16d001ea1,24043_5.jpg,,far right window,,,,C,2386_1.jpg,False,24043,5,on right,wall on right side,white wall bed on right side,painting or door on right side,white painting or door bed on right side,painting:door,a2
672,left,car,,truck,537fb46bd31907d16d000735,24068_3.jpg,,left truck,,,,C,24043_5.jpg,False,24068,3,top left,car on left side,car in black bag on left,car or vehicle on left side,car or vehicle in black bag on left,car:vehicle,a2
675,middle,public-sign,green,sign,537fe199d31907d16d00284c,24307_3.jpg,,middle green sign,,,,C,24068_3.jpg,False,24307,3,in middle,leftmost chair in middle,blue chair in middle white sign,leftmost chair or sign in middle,blue chair or sign in middle white sign,chair:sign,a2
678,,tree,,tree,537fe1f8d31907d16d002895,2430_4.jpg,,foreground tree in the middle,,,,C,24307_3.jpg,False,2430,4,on right,palm tree on right,big palm tree on right side,shrubs or bushes tree on right,big shrubs or bushes tree on right side,shrubs:bushes,a1
681,top,leaf,,right,537fc760d31907d16d001d26,2496_5.jpg,,top upper right as far as possible,,,,C,2430_4.jpg,False,2496,5,top right,very top right corner,rocks on right corner very top,very top right corner,roof or head on right corner very top,roof:head,a2
684,,window,,,537fbf73d31907d16d00140d,2516_2.jpg,,blue outlined window on yellow wall,,,,C,2496_5.jpg,False,2516,2,bottom left,window on bottom left,floor window on bottom left side,door or doorway on bottom left,door or doorway window on bottom left side,door:doorway,a2
687,left,chair,,chair,537fb483d31907d16d000751,25216_3.jpg,,left chair,,,,C,2516_2.jpg,False,25216,3,lower left,leftmost chair on left,boy in black bag on left,leftmost bench or table on left,bench or table in black bag on left,bench:table,a1
690,,tree,,tree,537fb65bd31907d16d000976,25248_1.jpg,,three in front of arch,,,,C,25216_3.jpg,False,25248,1,bottom right,tree trunk on right,big tree trunk on right side,leaves or tree trunk on right,big leaves or tree trunk on right side,leaves:tree,a1
693,middle,penguin,,bird,537fbec1d31907d16d001342,25574_1.jpg,,middle bird,,,,C,25248_1.jpg,False,25574,1,top left,guy in orange thing,guy in white thing on left,girls or seal in orange thing,girls or seal in white thing on left,girls:seal,a2
696,right,ship,,boat,537fc86ad31907d16d001e27,2568_6.jpg,,boat right,,,,C,25574_1.jpg,False,2568,6,top right,trees on right side,trees in white building on right,buildings or boat on right side,buildings or boat in white building on right,buildings:boat,a2
699,right,dog,,dog,537fbd7fd31907d16d0011e0,25766_7.jpg,,dog on right,,,,C,2568_6.jpg,False,25766,7,far right,car on far right,girl in white car on right,dog or animals on far right,dog or animals in white car on right,dog:animals,a2
702,,man,orange,man,537fe0f6d31907d16d0027e1,25969_4.jpg,,man in orange,,,,C,25766_7.jpg,False,25969,4,far left,guy on far left,red shirt guy on far left,lady or orange on far left,red lady or orange guy on far left,lady:orange,a1
705,first,horse,,horse,537fb532d31907d16d00081b,26046_8.jpg,,first horse from left,,,,C,25969_4.jpg,False,26046,8,lower left,person in lower left,person in white thing on left,horse or boat in lower left,horse or boat in white thing on left,horse:boat,a1
708,right,window,,window,537fb6a4d31907d16d0009c0,26150_4.jpg,,window top right,,,,C,26046_8.jpg,False,26150,4,top right,window on right corner,window on far right side top,windows or guys on right corner,windows or guys on far right side top,windows:guys,a1
711,,building,,building,537fbcd6d31907d16d001130,2615_4.jpg,,far left building,,,,C,26150_4.jpg,False,2615,4,on left,building on left side,white building on far left side,windows or building on left side,white windows or building on far left side,windows:building,a3
714,,bicycle,,thing,537fbca7d31907d16d0010f9,26217_11.jpg,,thing above van,prep_above,van,,C,2615_4.jpg,False,26217,11,top right,palm tree on right,guy in front tire on right,pile or hut tree on right,pile or hut in front tire on right,pile:hut,a1
717,right,bed,white,bed,537fddc3d31907d16d0025ed,26497_2.jpg,,the bed on the right....white bed bottom right,,,,C,26217_11.jpg,False,26497,2,bottom right,bed on right corner,white area on bottom right corner,bed or strip on right corner,white bed or strip on bottom right corner,bed:strip,a1
720,,child-boy,,kid,537fc667d31907d16d001c2e,26572_6.jpg,,kid shaking hand,,,,C,26497_2.jpg,False,26572,6,on left,girl on left side,woman in black hat on left,dudes or girl on left side,dudes or girl in black hat on left,dudes:girl,a2
723,,man,,person,537fc78dd31907d16d001d5f,26587_5.jpg,,left most person,,,,C,26572_6.jpg,False,26587,5,in middle,leftmost person in middle,man in middle person on left,leftmost sweater or spiders in middle,sweater or spiders in middle person on left,sweater:spiders,a1
726,,man,,person,537fb5b4d31907d16d0008cc,26787_4.jpg,,person on far left,,,,C,26587_5.jpg,False,26787,4,far left,guy on far left,guy in black bag on left,woman or spiders on far left,woman or spiders in black bag on left,woman:spiders,a1
729,,car,,car,537fb74dd31907d16d000a8c,2678_3.jpg,,closest car,,,,C,26787_4.jpg,False,2678,3,in front,train car in front,white van in front red car,van or car car in front,white van or car in front red car,van:car,a2
732,,dish,yellow,food,537fc695d31907d16d001c5d,26793_8.jpg,,yellow food in front of girl on left,prep_in_front,girl,,C,2678_3.jpg,False,26793,8,in front,man in front center,man in pink hat on bottom,cap or cup in front center,cap or cup in pink hat on bottom,cap:cup,a1
735,,mountain,,snow,537fe10ed31907d16d0027f0,26914_1.jpg,,snow mountain,,,,C,26793_8.jpg,False,26914,1,in center,snow mountain in center,big rock in white snow mountain,mountain or rock mountain in center,big mountain or rock in white snow mountain,mountain:rock,a1
738,second,bicycle,,bike,537fc5b7d31907d16d001b68,26933_7.jpg,,2nd bike from left,,,,C,26914_1.jpg,False,26933,7,in front,guy in front left,guy in front tire on left,bike or clock in front left,bike or clock in front tire on left,bike:clock,a1
741,,table,,table,537fc877d31907d16d001e35,26990_4.jpg,,pink/red table,,,,C,26933_7.jpg,False,26990,4,on right,guy on right side,guy in red thing on right,child or table on right side,child or table in red thing on right,child:table,a2
744,,man,,man,537fe085d31907d16d002792,27000_3.jpg,,man,,,,C,26990_4.jpg,False,27000,3,on right,girl in middle right,girl in black shirt on right,sea or girl in middle right,sea or girl in black shirt on right,sea:girl,a1
747,,bird,,bird,537fb40ad31907d16d0006ce,27042_4.jpg,,bird in back,,,,C,27000_3.jpg,False,27042,4,on right,water bottle on right,sand in blue wall on right,bird or land bottle on right,bird or land in blue wall on right,bird:land,a1
750,,child-boy,,kid,537fb498d31907d16d000768,27064_3.jpg,,kid holding the dog,,,,C,27042_4.jpg,False,27064,3,on right,man in middle right,man in middle person on right,girl or woman in middle right,girl or woman in middle person on right,girl:woman,a2
753,,bottle,,drink,537fc5ead31907d16d001b9c,27097_11.jpg,,drinks right,,,,C,27064_3.jpg,False,27097,11,far right,wall on far right,white wall on far right side,bus or balcony on far right,white bus or balcony on far right side,bus:balcony,a2
756,,man,,person,537fb59cd31907d16d0008ab,27101_3.jpg,,right ide person,,,,C,27097_11.jpg,False,27101,3,far right,person on far right,guy in black bag on right,bag or cap on far right,bag or cap in black bag on right,bag:cap,a3
759,right,window,,bar,537fb69fd31907d16d0009b6,27118_5.jpg,,bars on upper right,,,,C,27101_3.jpg,False,27118,5,top right,tree on right side,tall building on right side tree,ocean or curtain on right side,tall ocean or curtain on right side tree,ocean:curtain,a2
762,rightmost,chair,,chair,537fdec6d31907d16d002688,27185_11.jpg,,rightmost chair,,,,C,27118_5.jpg,False,27185,11,bottom right,chair on right corner,chair on right side in front,chair or bird on right corner,chair or bird on right side in front,chair:bird,a2
765,,hut,,hut,53838b77ffd526891400076b,27207_3.jpg,,hut to the nearest left of the person on the right,prep_to_left,person,,C,27185_11.jpg,False,27207,3,in middle,building in middle window,building in middle window on left,hut or house in middle window,hut or house in middle window on left,hut:house,a1
768,,horse,,horse,5383857cffd52689140000a2,27207_7.jpg,,horse on left with the guy riding it,,,,C,27207_3.jpg,False,27207,7,on left,palm tree on left,palm tree trunk on far left,palm or horse tree on left,palm or horse tree trunk on far left,palm:horse,a2
771,,man,,person,537fbe51d31907d16d0012d8,27221_11.jpg,,person far left,,,,C,27207_7.jpg,False,27221,11,on left,guy on far left,man in white hat on left,hat or row on far left,hat or row in white hat on left,hat:row,a2
774,closest,window,,window,537fbf84d31907d16d001423,27425_9.jpg,,window closest to door on right,,,,C,27221_11.jpg,False,27425,9,in front,girl in front center,girl in middle window on left,doorway or window in front center,doorway or window in middle window on left,doorway:window,a1
777,,chair,,,537fc668d31907d16d001c32,27427_5.jpg,,*right,,,,C,27425_9.jpg,False,27427,5,bottom right,chair on right side,chair on right in red shirt,bench or pants on right side,bench or pants on right in red shirt,bench:pants,a2
780,,man,,shirt,537fe0aed31907d16d0027ac,27437_4.jpg,,brown shirt guy on right,,,,C,27427_5.jpg,False,27437,4,far right,person on far right,person in white hat on right,hat or pants on far right,hat or pants in white hat on right,hat:pants,a3
783,,mountain,,mtn,53838b21ffd52689140006f3,27462_2.jpg,,mtn on rt,prep_on,rt.,,C,27437_4.jpg,False,27462,2,top right,mountain on right side,large rock on far right side,shadow or snow on right side,large shadow or snow on far right side,shadow:snow,a1
786,,chair,,chair,537fdec3d31907d16d002684,27477_15.jpg,,chair all the way to the left,,,,C,27462_2.jpg,False,27477,15,on left,man in middle left,man in blue shirt on left,table or chairs in middle left,table or chairs in blue shirt on left,table:chairs,a2
789,,woman,,person,537fe287d31907d16d002900,27477_4.jpg,,left person,,,,C,27477_15.jpg,False,27477,4,far left,guy on far left,blue shirt guy on far left,mans or street on far left,blue mans or street guy on far left,mans:street,a1
792,right,car,white,car,537fc648d31907d16d001c0e,27514_4.jpg,,white car very right,,,,C,27477_4.jpg,False,27514,4,bottom right,chair on bottom right,white car on very bottom right,vehicle or car on bottom right,white vehicle or car on very bottom right,vehicle:car,a2
795,,man,,man,53838bbfffd52689140007c0,27515_16.jpg,,man behind dude on white horse,prep_behind,dude,,C,27514_4.jpg,False,27515,16,top left,leftmost person in background,person in black bag on left,leftmost chick or cap in background,chick or cap in black bag on left,chick:cap,a2
798,,man,,guy,537fbe30d31907d16d0012b4,27515_9.jpg,,guy with red on shirt,prep_with,red,,C,27515_16.jpg,False,27515,9,in middle,man in middle person,man in middle person on right,girl or cap in middle person,girl or cap in middle person on right,girl:cap,a3
801,second,window,,window,537fbf60d31907d16d0013f8,27609_5.jpg,,second window from right,prep_from,right,,C,27515_9.jpg,False,27609,5,in middle,guy in middle left,guy in middle pot on left,square or shadow in middle left,square or shadow in middle pot on left,square:shadow,a2
804,middle,woman,,girl,537fe2a7d31907d16d002915,27619_3.jpg,,girl in middle,,,,C,27609_5.jpg,False,27619,3,in front,woman in front row,woman in black hat on right,chick or lady in front row,chick or lady in black hat on right,chick:lady,a1
807,,woman,red,shirt,537fbf9bd31907d16d00143f,27654_4.jpg,,red shirt woman,,,,C,27619_3.jpg,False,27654,4,in middle,man in orange shirt,blue shirt guy in red jacket,orange or girls in orange shirt,blue orange or girls guy in red jacket,orange:girls,a2
810,,building,,left,537fc618d31907d16d001bcc,2837_4.jpg,,building peeking out from left of statue,,,,C,27654_4.jpg,False,2837,4,far left,building on far left,tall building on far left side,pillar or doorway on far left,tall pillar or doorway on far left side,pillar:doorway,a1
813,,car,,van,537fb466d31907d16d00072d,30010_5.jpg,,van with globe,prep_with,globe,,C,2837_4.jpg,False,30010,5,on right,brick wall on right,brick wall on far right side,window or bldg wall on right,window or bldg wall on far right side,window:bldg,a1
816,,car,yellow,car,537fb467d31907d16d00072f,3005_18.jpg,,yellow car,,,,C,30010_5.jpg,False,3005,18,bottom left,car on bottom left,small white car on bottom left,van or car on bottom left,small white van or car on bottom left,van:car,a2
819,left,tire,,wheel,537fb646d31907d16d000962,30076_3.jpg,,left wheel,,,,C,3005_18.jpg,False,30076,3,bottom left,plant pot on left,guy in front tire on left,dudes or orange pot on left,dudes or orange in front tire on left,dudes:orange,a1
822,,tree,green,tree,537fc8acd31907d16d001e5a,30234_3.jpg,,green tree to the left,,,,C,30076_3.jpg,False,30234,3,on left,palm tree on left,lamp post on left palm tree,lamp or palm tree on left,lamp or palm post on left palm tree,lamp:palm,a1
825,front,leaf,,lilypad,537fb566d31907d16d000862,3026_10.jpg,,front center lilypad,,,,C,30234_3.jpg,False,3026,10,bottom left,grass area in front,big rock in front bottom left,road or shrubs area in front,big road or shrubs in front bottom left,road:shrubs,a2
828,bottom,leaf,,corner,53838b0effd52689140006db,3026_14.jpg,,bottom right corner,,,,C,3026_10.jpg,False,3026,14,bottom right,grass on right corner,big rock on bottom right corner,area or rock on right corner,big area or rock on bottom right corner,area:rock,a2
831,,man,red,shirt,537fb1aed31907d16d000475,30357_3.jpg,,red shirt,,,,C,3026_14.jpg,False,30357,3,in middle,man in middle person,man in middle person on left,strip or man in middle person,strip or man in middle person on left,strip:man,a1
834,,trees,,space,537fc8bad31907d16d001e62,3038_6.jpg,,space between threes,prep_between,three,,C,30357_3.jpg,False,3038,6,top left,tree trunk on left,tree trunk on top left corner,leaf or branch trunk on left,leaf or branch trunk on top left corner,leaf:branch,a3
837,left,tree,,tree,537fc88dd31907d16d001e45,30630_3.jpg,,tree on left,,,,C,3038_6.jpg,False,30630,3,on left,palm tree on left,tall palm tree on left corner,pants or pole tree on left,tall pants or pole tree on left corner,pants:pole,a1
840,,tree,,tree,537fe1e7d31907d16d002882,30658_2.jpg,,tree on far left,,,,C,30630_3.jpg,False,30658,2,on left,trees on left side,tree on far left side trees,bushes or bush on left side,bushes or bush on far left side trees,bushes:bush,a1
843,back,car,,car,53838b69ffd5268914000758,30698_5.jpg,,back end of blue car,,,,C,30658_2.jpg,False,30698,5,bottom left,car on left corner,dark area on bottom left corner,van or vehicle on left corner,dark van or vehicle on bottom left corner,van:vehicle,a1
846,second,jewelry,,gem,53838b7dffd5268914000772,3071_4.jpg,,row of gems second from the right,,,,C,30698_5.jpg,False,3071,4,lower right,water bottle in middle,man in middle building on right,light or lady bottle in middle,light or lady in middle building on right,light:lady,a1
849,,diver,,scuba,537fbd7fd31907d16d0011df,30811_3.jpg,,scuba diver on left,,,,C,3071_4.jpg,False,30811,3,bottom left,people on left corner,man in front guy on left,camera or guys on left corner,camera or guys in front guy on left,camera:guys,a1
852,top,leaf,,corner,537fe06bd31907d16d00277d,3100_4.jpg,,top right corner,,,,C,30811_3.jpg,False,3100,4,top right,tree on right corner,palm tree on top right corner,leaf or fish on right corner,leaf or fish tree on top right corner,leaf:fish,a2
855,bottom,vegetable,,leaf,537fc8e4d31907d16d001e7a,3101_4.jpg,,bottom right leaf,,,,C,3100_4.jpg,False,3101,4,bottom right,very bottom right corner,grass on right corner very bottom,very bottom right corner,leaf or way on right corner very bottom,leaf:way,a3
858,right,horse,,horse,537fb533d31907d16d00081c,3127_7.jpg,,horse on right,,,,C,3101_4.jpg,False,3127,7,far right,grass on far right,white horse on far right side,horse or animal on far right,white horse or animal on far right side,horse:animal,a1
861,left,motorcycle,,motorcycle,537fe101d31907d16d0027e9,31284_2.jpg,,left motorcycle,,,,C,3127_7.jpg,False,31284,2,far left,people on far left,bike tire on far left corner,tire or group on far left,tire or group tire on far left corner,tire:group,a1
864,fourth,motorcycle,red,bike,53838b36ffd526891400070f,31284_5.jpg,,red bike fourth in row,prep_in,row,,C,31284_2.jpg,False,31284,5,on right,person on right side,person in red shirt on right,tire or pic on right side,tire or pic in red shirt on right,tire:pic,a2
867,rightmost,woman,,person,537fb6dad31907d16d0009fd,31325_3.jpg,,rightmost person,,,,C,31284_5.jpg,False,31325,3,on right,guy on far right,guy in black shirt on right,lady or train on far right,lady or train in black shirt on right,lady:train,a1
870,second,woman,,woman,537fe283d31907d16d0028fa,31326_2.jpg,,2nd woman from right,prep_from,right,,C,31325_3.jpg,False,31326,2,in front,woman in orange shirt,woman in blue shirt on right,lady or girl in orange shirt,lady or girl in blue shirt on right,lady:girl,a1
873,right,hill,,grass,537fc717d31907d16d001cd9,3142_6.jpg,,grass behind the buildings on the far right,prep_behind,building,,C,31326_2.jpg,False,3142,6,far right,tree on far right,tall tree on far right side,hill or lake on far right,tall hill or lake on far right side,hill:lake,a1
876,,tree,,tree,537fbf3fd31907d16d0013d2,31441_4.jpg,,tree area to the left,,,,C,3142_6.jpg,False,31441,4,far left,palm tree on left,palm tree on far left corner,lake or tree tree on left,lake or tree tree on far left corner,lake:tree,a1
879,,public-sign,,sign,537fc859d31907d16d001e18,3152_4.jpg,,ft sign on bottom left near huge soda thing,,,,C,31441_4.jpg,False,3152,4,on right,grass on far right,water on right grass in red,way or sign on far right,way or sign on right grass in red,way:sign,a2
882,,man,,guy,53838bcbffd52689140007d2,31541_1.jpg,asian,asian guy,,,,C,3152_4.jpg,False,31541,1,far left,man in front left,man in red shirt on left,dude or shirt in front left,dude or shirt in red shirt on left,dude:shirt,a1
885,right,column,,pillar,537fdf32d31907d16d0026c4,3186_1.jpg,,Pillar back right,,,,C,31541_1.jpg,False,3186,1,top right,tree on right corner,tree on top right in background,column or doorway on right corner,column or doorway on top right in background,column:doorway,a2
888,middle,building,,building,537fde5dd31907d16d002643,32082_3.jpg,,middle building blue color,,,,C,3186_1.jpg,False,32082,3,in middle,building in middle flag,dark area in middle top left,tower or flag in middle flag,dark tower or flag in middle top left,tower:flag,a1
891,right,flag,,flag,537fbd91d31907d16d0011f5,32245_3.jpg,,flag right,,,,C,32082_3.jpg,False,32245,3,top right,sky top right corner,sky top right side in red,flag or way top right corner,flag or way top right side in red,flag:way,a1
894,,building,,tree,537fb456d31907d16d00071d,3234_10.jpg,,building middle above trees,,,,C,32245_3.jpg,False,3234,10,in middle,buildings in middle building,tall building in middle dark green,balcony or bldg in middle building,tall balcony or bldg in middle dark green,balcony:bldg,a2
897,,car,blue,car,537fbd1dd31907d16d001180,3234_11.jpg,,car right blue,,,,C,3234_10.jpg,False,3234,11,bottom right,ground bottom right corner,white car on bottom right corner,balcony or camera bottom right corner,white balcony or camera on bottom right corner,balcony:camera,a2
900,,man,,guy,53838b41ffd5268914000723,32373_2.jpg,,guy in BLUE helmet,prep_in,helmet,,C,3234_11.jpg,False,32373,2,in front,guy in front left,blue shirt guy in front left,jacket or plant in front left,blue jacket or plant guy in front left,jacket:plant,a1
